Membership Type,Number,Organization Name,Address,State
ASSOCIATE MEMBERS,32,Borochemie (India) Private Limited 39 Compo Expert India Private Limited,"40-44A, Dheeraj Heritage, 4th Floor, Tower – II, 108, World Trade Center, S.V. Road, Santacruz (West) Kharadi, Mumbai 400 054 Pune 411 014, Maharashtra Maharashtra",Maharashtra
ASSOCIATE MEMBERS,33,CFI Technologies Private Limited 40 Cotecna Inspection India Private Limited,"6th Floor, Om Tower, (The Summit - Business Bay), 32, Jawaharlal Nehru Road, Office No.213, 214 & 215, Behind Guru Nanak Petrol, Kolkata 700 071 Pump, Opposite Cinemax, West Bengal Off. Andheri - Kurla Road, Prakashwadi, Andheri (East), Mumbai 400 069, Maharashtra",West Bengal
ASSOCIATE MEMBERS,34,Chembond Water Technologies Limited 41 Criyagen Agri and Biotech Private Limited,"Chembond Centre Survey No. 71/5, Doddaballapur-Nelamangala State, EL-71, Mahape MIDC, Navi Highway-74, Mumbai 400 705 Post : Karim Sonnenahalli, TQ: Doddaballapur, Maharashtra Bangalore Rural 562 203, Karnataka",Maharashtra
ASSOCIATE MEMBERS,35,Chemtech Fertilisers Private Limited 42 Crop Nutri Solutions (India) Private Limited,"# 303, Siri Estate Sy No. : 708, Thamminapatnam Village, Nagarjuna Nagar Colony Chillakur Mandal, Hyderabad 500 073 Nellore District 524 412, Telangana Andhra Pradesh",Telangana
ASSOCIATE MEMBERS,43,Cropex Limited 50 Diamond Shipbrokers,"""CROPEXIUM EAST"" No. 71, 3rd Floor, (A division of Samsara Shipping Pvt. Ltd.), Karthik Nagar, Outer Ring Road, Marathahalli, 101/102, Technopolis Knowledge Park, Bangalore 560 037 Mahakali Caves Road, Chakala, Andheri (E), Karnataka Mumbai 400 093, Maharashtra",Karnataka
ASSOCIATE MEMBERS,44,Cropnosys (India) Private Limited 51 Dreymoor Fertilizers Overseas Pte. Limited,"9th Floor, Arliga North Star Building 403, Suncity Business Tower, (Opposite Yelahanka Police Station) Golf Course Road, Sector - 54, Besides RMZ Galleria Mall), Yelahanka Gurgaon 122 002, Bengaluru 560 064 Haryana, Karnataka",Haryana
ASSOCIATE MEMBERS,45,Dayal Fertilizsers (P) Limited 52 Engineers India Limited,"Delhi Road, Partapur EI Bhawan, 1, Bhikaji Cama Place, Meerut 250 013 New Delhi 110 066, Uttar Pradesh",Uttar Pradesh
ASSOCIATE MEMBERS,46,Delta Irrigation and Fertiliser Private Limited 53 Exceed Crop Science Private Limited,"Plot No. T53/6, Kagal Hatkanangle Plot No. 216 & 217, KIADB Industrial Area",
ASSOCIATE MEMBERS,5,"Star MIDC, Kagal 2nd Stage, Gamanagatti","Kolhapur 416 216 Hubli 580 025, Maharashtra Karnataka",Maharashtra
ASSOCIATE MEMBERS,47,Devdhar Chemicals Private Limited 54 Fairlead Inspection & Testing Private Limited,"5th Floor, Guardian Square Building, CTS No.8/20, Plot Office No. : 201, Second Floor, No.6/20, Riddhi Siddhi Arcade, Opp. Hotel Shiv Grand, Erandwane, Shankarrao Joshi Road, (Hotel Nisarg Plot No. 13, Sector - 8, Gandhidham, Lane), Nr.Nal Stop, Kutch 370 201, Pune 411 004 Gujarat, Maharashtra",Gujarat
